distfile,author,has_meta_yml,has_meta_json,meta_spec,meta_generator,meta_gen_package,meta_gen_version,meta_error,has_dist_ini
ABIGAIL/Acme-CPANAuthors-Dutch-2009102802.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Acme-CPANAuthors-EU-2009110201.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Acme-CPANAuthors-European-2009110201.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Acme-CPANAuthors-Pumpkings-2010022301.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.56",ExtUtils::MakeMaker,6.56,,0
ABIGAIL/Acme-MathProfessor-RandomPrime-2009121001.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Acme-Time-Baby-2010020101.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.56",ExtUtils::MakeMaker,6.56,,0
ABIGAIL/Algorithm-Graphs-TransitiveClosure-2009110901.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Algorithm-Numerical-Sample-2010011201.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.56",ExtUtils::MakeMaker,6.56,,0
ABIGAIL/Algorithm-Numerical-Shuffle-2009110301.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Date-Maya-2010011301.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.56",ExtUtils::MakeMaker,6.56,,0
ABIGAIL/Digest-Trivial-2010011301.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.56",ExtUtils::MakeMaker,6.56,,0
ABIGAIL/End-2009110401.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Games-Word-Wordlist-Enable-2009112301.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Games-Wumpus-2009112401.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Geography-Countries-2009041301.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.50",ExtUtils::MakeMaker,6.50,,0
ABIGAIL/Geography-States-2009040901.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.50",ExtUtils::MakeMaker,6.50,,0
ABIGAIL/Lexical-Attributes-2009121601.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Lingua-EN-Numbers-Easy-2009110701.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/OO-Closures-2009110702.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/RFC-RFC822-Address-2009110702.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Regexp-CharClasses-2009102801.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Regexp-Common-2010010201.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.56",ExtUtils::MakeMaker,6.56,,0
ABIGAIL/Test-Regexp-2009121701.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/The-Net-2009110702.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Tie-Counter-2009110701.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Tie-FlipFlop-2009110701.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/Tie-Pick-2009110701.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABIGAIL/variable-2009110702.tar.gz,ABIGAIL,1,0,1.4,"ExtUtils::MakeMaker version 6.55_02",ExtUtils::MakeMaker,6.55_02,,0
ABLUM/Net-RBLClient-0.5.tar.gz,ABLUM,0,0,,,,,,0
ABLUM/RPM-Make-DWIW-0.2.tar.gz,ABLUM,0,0,,,,,,0
ABREZINS/Template-Provider-OpenOffice-0.01.tar.gz,ABREZINS,0,0,,,,,,0
ABUI/WebService-Google-Contact-0.1.tar.gz,ABUI,1,0,1.2,"Module::Build version 0.28",Module::Build,0.28,,0
ABURKE/RPC-Lite-0.20.tar.gz,ABURKE,1,0,1.4,"ExtUtils::MakeMaker version 6.46",ExtUtils::MakeMaker,6.46,,0
ABURLISON/Solaris-0.05a.tar.gz,ABURLISON,0,0,,,,,,0
ABURLISON/StatsView-1.4.tar.gz,ABURLISON,0,0,,,,,,0
ABW/Apache-Template-0.09.tar.gz,ABW,0,0,,,,,,0
ABW/AppConfig-1.66.tar.gz,ABW,1,0,1.2,"ExtUtils::MakeMaker version 6.31",ExtUtils::MakeMaker,6.31,,0
ABW/AppConfig-MyFile-0.00.tar.gz,ABW,0,0,,,,,,0
ABW/Badger-0.03.tar.gz,ABW,1,0,1.3,"ExtUtils::MakeMaker version 6.44",ExtUtils::MakeMaker,6.44,,0
